Easting,Northing
486199,4883358
486170,4883360
486124,4883362
486082,4883360
486023,4883354
485961,4883344
485953,4883342
485891,4883328
485875,4883324
485867,4883323
485801,4883309
485744,4883302
485721,4883301
485656,4883299
485648,4883300
485601,4883299
485593,4883299
485529,4883299
485465,4883300
485449,4883300
485391,4883300
485326,4883301
485318,4883301
485255,4883301
485239,4883301
485177,4883302
485114,4883302
485098,4883302
485057,4883302
485017,4883303
484952,4883303
484944,4883303
484880,4883303
484864,4883303
484800,4883303
484775,4883304
484708,4883304
484700,4883304
484632,4883304
484615,4883304
484549,4883304
484516,4883304
484452,4883304
484419,4883304
484379,4883305
484355,4883305
484284,4883304
484261,4883304
484198,4883305
484168,4883305
484104,4883305
484080,4883306
484065,4883306
484013,4883306
483947,4883308
483940,4883308
483873,4883309
483811,4883311
483747,4883314
483740,4883314
483677,4883316
483671,4883316
483608,4883319
483601,4883319
483536,4883320
483522,4883321
483456,4883322
483441,4883323
483374,4883325
483343,4883325
483338,4883324
483337,4883324
483334,4883325
483325,4883327
483321,4883328
483303,4883327
483267,4883327
483223,4883327
483191,4883330
483155,4883331
483133,4883332
483069,4883340
483054,4883343
482992,4883359
482928,4883376
482920,4883378
482858,4883396
482842,4883400
482779,4883417
482763,4883421
482700,4883437
482677,4883442
482613,4883446
482546,4883447
482538,4883447
482471,4883446
482445,4883446
482391,4883446
482364,4883447
482310,4883455
482255,4883475
482209,4883504
482159,4883541
482135,4883558
482089,4883589
482050,4883603
481992,4883620
481985,4883621
481923,4883640
481916,4883642
481859,4883659
481803,4883674
481758,4883681
481704,4883686
481651,4883686
481636,4883687
481577,4883688
481521,4883691
481472,4883693
481450,4883695
481403,4883698
481339,4883702
481331,4883703
481268,4883707
481240,4883708
481185,4883712
481124,4883719
481061,4883722
481046,4883724
480983,4883729
480968,4883730
480904,4883735
480897,4883736
480840,4883740
480773,4883742
480713,4883743
480673,4883743
480609,4883744
480602,4883745
480541,4883747
480527,4883748
480504,4883749
480465,4883748
480398,4883748
480375,4883749
480311,4883750
480246,4883752
480182,4883754
480161,4883755
480097,4883757
480083,4883756
480030,4883756
479970,4883756
479910,4883757
479903,4883757
479848,4883757
479782,4883758
479717,4883759
479709,4883759
479643,4883758
479581,4883761
479527,4883761
479487,4883761
479444,4883762
479437,4883762
479378,4883763
479364,4883763
479320,4883763
479262,4883763
479210,4883762
479190,4883762
479137,4883762
479113,4883762
479089,4883762
479025,4883764
478973,4883772
478929,4883790
478923,4883793
478886,4883820
478850,4883859
478827,4883897
478814,4883933
478812,4883946
478807,4883998
478807,4884023
478808,4884043
478808,4884061
478808,4884101
478809,4884158
478809,4884214
478809,4884269
478809,4884284
478810,4884326
478809,4884387
478805,4884420
478803,4884427
478789,4884463
478769,4884496
478765,4884503
478746,4884520
478700,4884550
478645,4884568
478593,4884571
478534,4884570
478525,4884569
478500,4884570
478441,4884570
478378,4884570
478354,4884570
478345,4884570
478336,4884570
478311,4884570
478248,4884571
478232,4884572
478215,4884573
478152,4884573
478144,4884573
478093,4884579
478086,4884580
478053,4884592
478041,4884598
478000,4884625
477981,4884637
477968,4884644
477920,4884677
477867,4884714
477827,4884741
477790,4884766
477780,4884773
477754,4884790
477737,4884799
477694,4884818
477631,4884835
477575,4884846
477567,4884848
477532,4884856
477497,4884864
477488,4884866
477460,4884872
477424,4884879
477388,4884887
477335,4884899
477288,4884910
477279,4884913
477252,4884919
477211,4884929
477203,4884931
477143,4884948
477086,4884963
477041,4884974
476977,4884992
476970,4884994
476912,4885010
476897,4885013
476838,4885029
476809,4885036
476744,4885054
476723,4885060
476658,4885076
476597,4885092
476590,4885094
476525,4885111
476518,4885113
476453,4885130
476389,4885147
476322,4885165
476310,4885168
476248,4885185
476241,4885187
476210,4885199
476197,4885204
476141,4885230
476086,4885262
476080,4885266
476024,4885302
475974,4885333
475938,4885351
475905,4885365
475892,4885369
475882,4885372
475874,4885375
475854,4885380
475846,4885381
475834,4885386
475816,4885391
475813,4885392
475797,4885393
475784,4885393
475767,4885395
475749,4885396
475737,4885397
475715,4885398
475701,4885399
475670,4885402
475641,4885409
475638,4885410
475614,4885419
475606,4885423
475588,4885431
475577,4885437
475566,4885444
475551,4885452
475548,4885454
475539,4885459
475513,4885472
475487,4885486
475478,4885492
475440,4885514
475396,4885538
475382,4885546
475334,4885574
475290,4885594
475269,4885602
475247,4885612
475200,4885626
475148,4885639
475098,4885649
475075,4885652
475036,4885656
475004,4885657
474964,4885658
474924,4885656
474908,4885656
474844,4885655
474829,4885654
474763,4885653
474747,4885652
474699,4885653
474652,4885651
474605,4885639
474562,4885618
474524,4885587
474500,4885561
474477,4885535
474461,4885515
474433,4885482
474423,4885469
474382,4885424
474377,4885417
474364,4885406
474337,4885376
474297,4885329
474259,4885284
474217,4885234
474212,4885228
474187,4885202
474174,4885186
474136,4885138
474126,4885130
474113,4885115
474109,4885110
474083,4885080
474076,4885071
474056,4885054
474050,4885050
474038,4885044
474007,4885030
473968,4885024
473955,4885024
473942,4885025
473935,4885025
473912,4885031
473887,4885030
473881,4885030
473826,4885031
473759,4885031
473752,4885031
473703,4885032
473696,4885033
473631,4885033
473567,4885033
473552,4885033
473497,4885035
473453,4885035
473417,4885035
473411,4885035
473359,4885036
473353,4885036
473288,4885036
473282,4885036
473219,4885036
473164,4885037
473146,4885037
473104,4885037
473044,4885038
473038,4885038
472983,4885038
472961,4885039
472932,4885039
472874,4885038
472857,4885038
472828,4885038
472778,4885037
472768,4885037
472720,4885038
472715,4885038
472684,4885037
472674,4885037
472644,4885037
472630,4885037
472611,4885036
472607,4885036
472581,4885036
472577,4885036
472573,4885036
472561,4885036
472557,4885035
472533,4885036
472525,4885036
472503,4885036
472491,4885036
472464,4885037
472455,4885037
472450,4885037
472431,4885039
472415,4885043
472375,4885061
472365,4885068
472351,4885081
472328,4885115
472301,4885172
472299,4885178
472286,4885205
472284,4885209
472275,4885230
472271,4885239
472261,4885261
472258,4885270
472245,4885295
472241,4885303
472237,4885311
472232,4885324
472228,4885331
472219,4885352
472217,4885355
472203,4885386
472202,4885391
472200,4885395
472185,4885435
472177,4885455
472163,4885489
472150,4885523
472144,4885538
472132,4885568
472116,4885607
472111,4885617
472103,4885638
472085,4885686
472081,4885706
472080,4885711
472078,4885716
472074,4885745
472074,4885756
472074,4885761
472073,4885774
472073,4885783
472074,4885803
472074,4885811
472075,4885822
472076,4885839
472078,4885857
472078,4885866
472081,4885893
472083,4885928
472084,4885932
472085,4885954
472087,4885970
472088,4885978
472089,4886006
472089,4886009
472089,4886030
472089,4886034
472091,4886053
472091,4886057
472094,4886080
472095,4886083
472101,4886111
472102,4886116
472109,4886141
472111,4886145
472121,4886168
472123,4886173
472133,4886202
472134,4886205
472145,4886229
472147,4886237
472154,4886256
472160,4886268
472164,4886280
472175,4886304
472176,4886307
472183,4886323
472185,4886330
472191,4886349
472193,4886356
472198,4886384
472200,4886392
472204,4886433
472207,4886464
472205,4886473
472205,4886480
472204,4886494
472203,4886501
472201,4886522
472201,4886529
472200,4886536
472198,4886553
472195,4886569
472194,4886575
472193,4886585
472188,4886600
472183,4886615
472180,4886623
472175,4886638
472170,4886648
472168,4886654
472161,4886672
472158,4886678
472154,4886686
472146,4886703
472145,4886706
472136,4886721
472129,4886732
472125,4886738
472118,4886749
472116,4886752
472105,4886766
472104,4886768
472102,4886770
472097,4886775
472094,4886780
472082,4886795
472080,4886798
472067,4886813
472063,4886815
472051,4886826
472040,4886838
472027,4886851
472021,4886854
472009,4886863
471998,4886871
471991,4886877
471983,4886882
471976,4886887
471961,4886899
471955,4886903
471939,4886915
471923,4886927
471920,4886929
471906,4886939
471899,4886946
471890,4886951
471881,4886956
471875,4886960
471861,4886969
471858,4886971
471841,4886981
471820,4886997
471818,4886999
471814,4887004
471801,4887014
471793,4887021
471779,4887031
471771,4887036
471760,4887044
471746,4887054
471737,4887059
471722,4887068
471717,4887072
471703,4887082
471700,4887083
471689,4887091
471678,4887099
471675,4887101
471657,4887114
471644,4887125
471639,4887129
471622,4887139
471620,4887141
471589,4887161
471585,4887163
471551,4887184
471521,4887196
471490,4887205
471481,4887206
471452,4887206
471443,4887204
471430,4887202
471408,4887196
471385,4887188
471361,4887179
471335,4887173
471322,4887171
471309,4887170
471296,4887171
471284,4887173
471272,4887177
471249,4887188
471230,4887203
471222,4887211
471213,4887220
471197,4887236
471182,4887252
471166,4887269
471143,4887293
471128,4887309
471087,4887346
471078,4887353
471049,4887369
471030,4887379
471010,4887386
470980,4887396
470970,4887399
470951,4887406
470921,4887414
470891,4887423
470843,4887440
470816,4887452
470808,4887456
470776,4887478
470768,4887484
470754,4887496
470735,4887515
470696,4887567
470667,4887607
470656,4887622
470644,4887638
470618,4887674
470614,4887680
470595,4887706
470564,4887746
470541,4887779
470533,4887790
470526,4887799
470516,4887808
470512,4887813
470481,4887835
470442,4887854
470416,4887861
470391,4887867
470365,4887878
470342,4887892
470335,4887898
470319,4887918
470313,4887928
470306,4887944
470304,4887953
470299,4887989
470300,4888006
470300,4888061
470301,4888122
470301,4888139
470301,4888147
470302,4888185
470301,4888221
470301,4888241
470301,4888245
470301,4888252
470303,4888262
470303,4888265
470303,4888272
470304,4888281
470304,4888285
470304,4888292
470304,4888296
470305,4888308
470305,4888317
470304,4888323
470304,4888337
470304,4888341
470304,4888350
470305,4888365
470305,4888372
470304,4888401
470304,4888404
470304,4888445
470303,4888451
470304,4888460
470305,4888474
470305,4888502
470302,4888511
470297,4888518
470293,4888519
470277,4888515
470255,4888503
470227,4888491
470208,4888484
470191,4888476
470156,4888459
470124,4888444
470100,4888433
470076,4888421
470032,4888401
469993,4888386
469944,4888381
469907,4888384
469897,4888387
469878,4888392
469849,4888398
469839,4888400
469818,4888402
469798,4888401
469777,4888399
469757,4888393
469747,4888390
469717,4888376
469695,4888366
469674,4888355
469652,4888345
469632,4888334
469611,4888324
469593,4888315
469564,4888301
469545,4888292
469526,4888282
469482,4888263
469438,4888252
469387,4888249
469329,4888250
469268,4888251
469255,4888251
469188,4888252
469182,4888252
469116,4888253
469101,4888254
469035,4888253
469027,4888254
468965,4888254
468950,4888254
468883,4888256
468830,4888257
468806,4888257
468781,4888257
468753,4888256
468743,4888255
468733,4888253
468729,4888252
468723,4888251
468719,4888251
468714,4888250
468699,4888246
468695,4888244
468692,4888241
468671,4888231
468658,4888222
468648,4888215
468631,4888203
468624,4888197
468604,4888179
468581,4888160
468568,4888147
468561,4888142
468554,4888136
468551,4888132
468547,4888128
468541,4888120
468538,4888117
468504,4888088
468473,4888058
468439,4888026
468405,4887997
468376,4887970
468359,4887955
468329,4887926
468286,4887884
468253,4887850
468246,4887842
468225,4887821
468204,4887798
468190,4887783
468169,4887760
468142,4887731
468121,4887709
468114,4887702
468100,4887687
468064,4887651
468051,4887637
468037,4887624
468030,4887617
467981,4887573
467966,4887561
467926,4887526
467920,4887521
467871,4887479
467865,4887474
467832,4887446
467782,4887405
467771,4887395
467724,4887355
467718,4887351
467706,4887341
467681,4887319
467640,4887284
467589,4887242
467578,4887233
467529,4887189
467488,4887161
467439,4887139
467416,4887133
467384,4887127
467353,4887122
467331,4887118
467279,4887114
467259,4887112
467237,4887111
467201,4887108
467158,4887105
467130,4887102
467079,4887098
467027,4887100
466982,4887116
466923,4887146
466869,4887176
466823,4887201
466770,4887228
466729,4887251
466673,4887281
466621,4887309
466595,4887322
466575,4887333
466547,4887349
466502,4887373
466486,4887380
466472,4887388
466452,4887399
466438,4887406
466379,4887437
466372,4887440
466340,4887458
466312,4887474
466298,4887482
466293,4887485
466272,4887500
466259,4887510
466229,4887538
466203,4887563
466194,4887571
466186,4887580
466182,4887585
466143,4887621
466118,4887649
466104,4887663
466066,4887700
466025,4887740
465978,4887785
465935,4887831
465930,4887836
465890,4887887
465885,4887893
465874,4887913
465855,4887953
465838,4888009
465826,4888062
465821,4888103
465823,4888163
465825,4888181
465827,4888192
465830,4888205
465834,4888224
465837,4888237
465843,4888276
465850,4888324
465860,4888386
465862,4888395
465872,4888448
465877,4888475
465880,4888501
465882,4888519
465882,4888535
465879,4888559
465873,4888601
465871,4888638
465873,4888649
465874,4888655
465878,4888665
465880,4888670
465885,4888680
465888,4888685
465897,4888700
465902,4888705
465910,4888716
465914,4888722
465937,4888756
465960,4888792
465979,4888821
465986,4888833
466003,4888870
466005,4888876
466016,4888919
466018,4888925
466019,4888950
466020,4888965
466022,4888992
466026,4889036
466027,4889055
466032,4889079
466039,4889092
466042,4889096
466058,4889113
466072,4889126
466088,4889138
466093,4889142
466109,4889147
466143,4889159
466172,4889169
466176,4889172
466198,4889188
466204,4889199
466204,4889205
466207,4889207
466208,4889208
466209,4889209
466209,4889210
466203,4889202
466201,4889198
466193,4889194
466174,4889178
466156,4889168
466153,4889169
466151,4889171
466150,4889174
466151,4889179
466155,4889187
466168,4889201
466171,4889204
466178,4889212
466186,4889225
466189,4889230
466193,4889241
466196,4889259
466196,4889266
466193,4889291
466182,4889326
466179,4889333
466160,4889390
466140,4889435
466125,4889463
466118,4889474
466097,4889508
466093,4889515
466071,4889556
466045,4889605
466015,4889661
465986,4889700
465944,4889739
465934,4889750
465917,4889763
465911,4889767
465873,4889799
465840,4889825
465829,4889834
465786,4889869
465745,4889900
465704,4889925
465699,4889927
465650,4889954
465606,4889978
465581,4889992
465535,4890020
465529,4890023
465488,4890046
465447,4890069
465403,4890093
465361,4890116
465356,4890118
465301,4890149
465301,4890149
465243,4890181
465188,4890211
465182,4890215
465128,4890244
465087,4890268
465032,4890298
464978,4890329
464972,4890332
464937,4890354
464931,4890358
464888,4890397
464862,4890433
464850,4890458
464842,4890473
464835,4890483
464834,4890489
464817,4890526
464795,4890571
464765,4890629
464759,4890641
464746,4890668
464723,4890713
464706,4890747
464691,4890779
464680,4890800
464671,4890818
464651,4890857
464632,4890898
464604,4890957
464591,4890982
464578,4891009
464572,4891023
464570,4891026
464565,4891035
464563,4891040
464556,4891054
464551,4891062
464548,4891067
464543,4891076
464539,4891086
464534,4891095
464520,4891123
464509,4891145
464493,4891182
464477,4891225
464465,4891262
464460,4891276
464444,4891319
464419,4891372
464396,4891413
464373,4891453
464345,4891498
464323,4891533
464294,4891582
464265,4891627
464244,4891664
464222,4891701
464193,4891749
464164,4891797
464150,4891820
464132,4891854
464098,4891909
464091,4891921
464068,4891962
464050,4892004
464038,4892038
464033,4892054
464029,4892064
464021,4892091
464018,4892101
464015,4892111
464014,4892116
464012,4892126
464010,4892131
464007,4892145
463999,4892166
463982,4892208
463981,4892213
463975,4892231
463971,4892248
463960,4892293
463943,4892335
463931,4892360
463924,4892373
463901,4892407
463870,4892444
463855,4892468
463844,4892486
463831,4892526
463828,4892547
463826,4892567
463820,4892628
463819,4892640
463814,4892684
463808,4892736
463797,4892781
463768,4892838
463752,4892859
463736,4892877
463707,4892900
463697,4892908
463649,4892948
463604,4892983
463595,4892992
463545,4893034
463509,4893062
463498,4893069
463473,4893085
463463,4893089
463448,4893097
463439,4893100
463435,4893102
463418,4893110
463392,4893121
463377,4893125
463364,4893132
463332,4893149
463297,4893171
463285,4893182
463264,4893201
463236,4893229
463232,4893233
463199,4893264
463187,4893277
463179,4893284
463165,4893298
463136,4893323
463128,4893331
463099,4893359
463087,4893371
463065,4893394
463038,4893419
463024,4893432
462994,4893464
462956,4893502
462913,4893545
462882,4893579
462843,4893621
462808,4893657
462762,4893704
462759,4893707
462736,4893732
462719,4893749
462711,4893754
462700,4893765
462696,4893770
462692,4893775
462682,4893785
462677,4893790
462665,4893803
462652,4893813
462641,4893821
462634,4893829
462619,4893839
462617,4893841
462608,4893846
462592,4893854
462589,4893856
462578,4893860
462570,4893861
462565,4893863
462552,4893865
462546,4893866
462533,4893868
462529,4893867
462511,4893867
462495,4893865
462492,4893864
462480,4893862
462465,4893860
462462,4893860
462448,4893855
462440,4893851
462434,4893846
462426,4893842
462424,4893841
462412,4893832
462407,4893828
462399,4893823
462387,4893815
462382,4893812
462372,4893800
462361,4893791
462354,4893783
462349,4893779
462336,4893769
462334,4893768
462322,4893759
462320,4893757
462311,4893749
462307,4893739
462305,4893736
462296,4893727
462292,4893724
462283,4893715
462274,4893707
462273,4893705
462263,4893697
462261,4893696
462250,4893686
462248,4893684
462241,4893669
462239,4893667
462230,4893659
462220,4893651
462219,4893648
462209,4893637
462204,4893633
462193,4893623
462187,4893617
462182,4893612
462172,4893601
462165,4893594
462161,4893591
462154,4893584
462151,4893582
462147,4893577
462138,4893569
462133,4893566
462128,4893561
462115,4893550
462102,4893537
462095,4893529
462087,4893520
462083,4893517
462073,4893508
462069,4893504
462059,4893494
462057,4893491
462046,4893482
462042,4893477
